id,document,label
8998230,간만에 괜찮은 영화 봤네 시간 가는줄 모르고 다 봤다낼 출근해야 되는데 부담됨,1
9500199,"너무 좋아요 단, 김치커플이 연결되길..^^",1
10267684,내용이 잔잔하면서 너무슬픔ㅠㅠㅠㅠ,1
33452,"17세기 프랑스의 역사와 배경, 문학을 잘 이해할 수 있는 영화",1
8135547,원보단 별로엿지만 마지막 쩌네,1
9048807,감정선을 잘 건드리는 최고의 영화!,1
9255821,말이 필요없다 생각합니다,1
4526043,해코지의 모든 수단과 방법을 보여주는 드모네이의 전성기 시절 열연이 빛나는 수작,1
240994,다른 성룡영화보단 좀 덜하지만 그래도 재밌습니다.,1
3789425,완전 귀여워~ 유치할줄 알았는데 잼있따~ 옛따! 별 5개 니 가지라!,1
3197641,재미잇네요,1
8297371,오늘 OCN 16시(4시)에 나온대요~작년에 봤는데 잼있게 봤어요~이런 애니메이션 많이 나왔으면좋겠어요~^^,1
9874105,덧없고 아련하고 슬프다..,1
8527160,아...한지민씨랑 정우성씨랑 빠담빠담 두번째이야기나오면 기분 날아갈듯 ㅋㅋ,1
8718316,남자건 여자건 간에 어찌 밀짚모자 선장님께 반하지 않을 수 있으랴.,1
5362866,웃겨죽는줄ㅋㅋㅋ감동까지~,1
9249910,어릴적부터봐왔지만 아직도 계속해서 생각나는영화,1
9720130,지금 결말 예측했다고 잘난척하시는 분들 많은데 솔직히 이 영화는 반전이 중요한 건 아닌 것 같네요. 충분히 재밌게 봤습니다.,1
10261865,학교에서봣는데...와...걍감동...연기하는거 진짜조았다!!장애인 연기 진짜잘한거같다..,1
7753643,상담히 흥미있고 재미있는작품 린제이로한연기도 볼만합니다.,1
3311362,전형적인 신데렐라 스토리라고 해야되나 볼만함ㅋ,1
9329992,예전에 처음 혹성탈출 시리즈를 접했지만 원작을 먼저 보지 않았지만 원작만큼이나 충실히 재미와 연출을 했을거라 본다 그것을 못보고 놓쳤다는것은 자신이 부족해서 생각이 좁았던 탓일거라 믿는다,1
9826435,음울하고 어두운 분위기.. 그 안에서 붉게 빛나는 홍등만큼이나 강렬한 영화,1
9273548,진짜이거는 개사기야 개짱이야 ㅎㅎㅎ,1
8101823,이런 영화가 있다니 충격이다 부패의 끝을보여주네,1
1008130,내생에최고의영화,1
5310986,보고 정말감동먹었던 영화.,1
1581986,책을 읽은 느낌. 사랑의 1/100 을 보여줬다.,1
10118845,오랜만에 몰입했음 실화라 더욱더,1
9707024,매력적인 드라마인데 마지막회 방송사고3번 뭐지?,1
9014905,인간의 고전적 순수한 사랑을 그린 영화 입니다,1
