id,document,label
9550865,친구들이랑 단체로 봤었는데 다같이 펑펑 어흑어흐흘거허엏헑 울어서 서로서로 당혹스러웠던 그만큼 마음울린 영화였음,1
5844840,중간중간 재미는있지만 지루함..잠와죽는줄 기대한만큼은 아님,0
7557482,18 이거만든색히 ㄴ누구야 주겨버려 진짜 내아들이 두살인데 니보단 연기도잘하구 더 잘만들것다. OOO들,0
8761216,진짜 애절하다는 표현이 맞는 거 같다.,1
5083519,유치해;;ㅡㅡ,0
10048655,좀 많이 재미없음어짜피 죽을애들끼리ㅜ사랑하다 한쪽이 죽은건데 왜슬퍼함?;;차라리 터미네이터 기계 죽는게 더 슬플듯 아윌백 다른사람을 지키기위해 희생하는기계 VS 어짜피 죽을애인데 사랑하다 죽은사람 기계가 더불쌍함,0
6604730,권선징악이라는 주제를 아주 제대로 보여주었던 대표적인 드라마. 탁구의 긍정적 마인드와 윤시윤의 눈물연기가 돋보였었다 b,1
10160374,공포영화치고안무서움,0
7638274,호모영화,0
10245168,앞에 20분 정도만 본 상태로 몇개월채 안보고 있는 영화 다시보기가 겁나게 짜증난다.,0
8718316,남자건 여자건 간에 어찌 밀짚모자 선장님께 반하지 않을 수 있으랴.,1
9918217,"연애를 하다보면 처음엔 좋았던모습들도시간이 지나면 숨을못쉴정도로 미울때가있다. 그 순간 조심해야한다는걸 보여준다. 이러한 작은 미움,분노로 이별뒤 모든걸 지우려할 때 그 미웠던 추억까지 너무 아프게다가올테니.",1
5868224,어렸을때 봤떤 작품으로 아직도 남네요 평점 낮은사람들은 그시절 영화를 안봐서 ㅉㅉ,1
9139620,성룡 영화 중 보아서는 안 될 졸작 중 하나. 고소영도 그랬듯이 김희선 역시 영화와 인연이 없는 듯,0
228341,유치찬란과 지루함.,0
6182162,짱 재밌당~~**,1
8531527,올해 메이저리거 류현진선수 방어률 갑시다. ㄱㄱ,0
7478073,처음과마지막은역시재밋네요,1
5618153,평점 첨써본다진짜 이건뭐 되도안한,0
9819941,"졸라 이런 핵노잼 영화도 오랜만이다. 연기 더럽게 못하네, 오광록이 저렇게 연기 못하는 배우였나...ㅡ0ㅡ;",0
9832813,페이크 다큐인걸 감안하고 봐도 별로 매력이 없다. 진부함.,0
7791099,이런건 안보라고 있는거다,0
8647646,재밌는데? 쓰레기는 절대 아님,1
7788779,이건 걍 남자끼리사귀는게공포,0
9412283,너무 재미있어요 !!!,0
8486695,제니퍼 코넬리 아주 섹시하다,0
10109010,게임을이정도까지재현하다니ㄷㄷ,1
9532423,"무조건 감싸고 지켜주는 것이 사랑이 아닌, 그의 앞길을 지켜봐주는 것도 사랑이란 것을! 부성애가 느껴지는 감동적인 애니메이션이었습니다",1
9744996,스토리가 너무 뻔하고 편집이 어색함..여주와 남주가 너무 안어울림,0
9501414,진짜재밋습니다~~bbbb,1
5048627,전 사실 이거보면서 어지러웠어요. 장르가 너무 불 확실해요,0
10035443,내용이 뭐가 막장이냐 저런 집도 찾아보면 많다~,1
9283836,올리비아 핫세를 봤으니 10점이 아깝지 않다.,1
1428006,good,0
7824968,포스터가 제일재밌다.ㅋㅋㅋ근데 양멱이 여자주인공이라 참고봣네 아오..제목이랑 내용이랑 전혀 다르자나 ㅋㅋ,0
7414814,b급보다졸긴처음이네..,0
7956327,"마이너한 사회적 금기의 소재를 극한으로 살려낸영화... 배우의 천재적인 사이코 연기와 지루할틈이없는 빠른전개, 생각도 못한반전시작부터 끝까지 눈을뗄수가 없는영화다.이런소재로 이렇게까지 의미를부여한 영화가 얼마나 있을까 근데 감독님 아역배우는 어떡해요",1
6800177,하~품,0
6636284,재미 더럽게 없다..1점준것중에 한국영화는 10점주는 M창있네,0
1646846,폭포탈출씬 이전까지 007사상 최고의 재미..,1
8128036,진짜오랜만에순수한영화한편이었다,1
5955300,이영화비디오대여점에서빌려보고카세트테이프샀던기억이.음악이무척좋았음,1
4440119,"뭐가 자무시란 말인가, 플롯 긴장,구성 없음 전달력이 너무 어의없음",0
4038691,롭 좀비.. 할로윈 시리즈를 시궁창에 빠뜨릴 속셈이냐?,0
7696502,코미디 범죄 영화의 교과서.,1
3042009,이게 소설이라면 모르겠으나 영화로선 쓰레기. 이런게 페미니즘? 픕~,0
9191234,한국영화에 건달 조폭은 조미료,0
6183172,점점드라마가 산으로 가는구나. 그동안 나왔던 대신들과 왕비는 어디로 간건가? 태자 장수왕은?,0
6230997,기껏 직쏘 잡았더니 잡지도못하고 무능한 경찰들 ㅉㅉ 개 쓰레기영화,0
3882513,cg도 없이 물량이 ㄷㄷㄷ 이런영화는 10점 줘야함..,1
10090448,1점 이상 주는놈들은 히틀러의 신앙생활을 미화한 영화도 빨놈들이다. 역겨운 선동영화,0
6465926,쓰레기 더럽게 재미없네 2점이상 점수준것들 M창,0
1716771,암울했던 과거.. 하지만 희망의 꽃이 피고 있다.,1
10079536,배우들 연기가 장난아니네요.. 잘만들었습니다.,1
6060096,중간까지 남녀 둘다 정신병인가 했음 ㅡㅡ;,1
8643576,"어린 여자애들이나 좋아할 법한 유치하고 진부한 스토리. 평점이 왜 이렇게 높은지 모르겠다.. 영화 자체는 별로였지만 앤 해서웨이가 예쁘게 나오고, 맨디 무어의 Stupid cupid가 인상 깊어서 4점.",0
2181800,재밌음,1
10259447,개재밌음 짱재밌음 별점 10 십 텐,1
3676324,볼만한 영화 ㅎㅎ 먼가 프랑스영화는 그나름대로의 재미가 ㅎㅎ,1
6533227,최고,1
7977779,거장의 마음을 느낄수 있는 영화 ~,1
9810944,감동적이고 슬프고 묘한 환상적인 영화 ㅠ 다시 보고 싶어요 ㅠㅠ,1
5155221,한국만화영화의 영원한 별빛,1
8092580,오랫만이다... 진정한 쓰래기 영화... 잠수함에서 핸드폰 수리도 해줘ㅋㅋ 써비스 센타냐????,0
5746865,재밌고 감명깊은 드라마였어요.,1
9709032,진심 시간이 아까워 돌아버리겠네요...정말 이렇게 노잼인 것도 오랜만입니다.,0
7662777,막장은 막장이네요 출연진 분장하는거 너무너무 성이 없네요. 시청자들 무시하는건지...,0
4677183,힘. 얼른 저 마음이. 나에게도.,1
5784954,나의 초등학교시절 본 영화. 마지막 엔딩..눈물 펑펑...슬퍼요.,1
9208357,"차도 역주행, 영화도 역주행",0
7345303,이런류의 영화중에서 최고임,1
4358451,정말 완성도 높은 드라마,1
358992,쓰레기 같은 .. ㅡㅡ;; 존나 오버떠는거 하나도 잼없다!!,0
5878677,"과거 성룡의 액션을 보길 원한다면, 절대 영화 보지 말것...;",0
9396929,잠수함영화의 끝판왕..ㄷㄷㄷ 말이필요없음..,1
5841822,예전에 극장에서 봤었어요^_^ 티비에서 어제하길래 다시봤는데도 너무재밌네요 역시!!,1
3330309,약간 쇼킹한 종교영화...,0
1593032,명작과 졸작을 구분하려 애쓰지마라..이곳이 너의 필드다.,1
9483748,아름다운영화말이필요없습니다보고나면마음에울림이오고잔잔해짐을느낄것입니당,1
8777723,배우들은 지네들 안뜨니까 이런영화 찍을껀데??? 왜 안뜨는지 진짜 모르는거야? 면상 딱 보면 알겠구만... 왜 지네 자신들은 모를까?,0
8385943,소와 함께하는 선문답 장난질. 이런 맙소사!,0
8244869,아이들의 만들어준목걸이가 코난의 생명을 구하다니! 감동 ㅠㅠ 이런걸짱은 영화상을 받아야해,1
7903625,ㅣ,0
9451557,영화를 이렇게 후지게 만들 수 있구나...의 예를 보여주는.,0
5577695,내가 다른 SF영화들은 거의 호평을 줬다. 그런데 이영화는 욕이나온다.,0
9438164,관심이나 흥미도 없던 클래식이 어느순간 좋아하는 장르가 되버린계기 김명민이란 ... 역시라는 말밖에,1
9768455,보라색 져지를 살까...,1
9618956,동방불패 ... 진짜 최고..,1
386646,가장 인상깊었던 영화...,1
6314143,마지막에 안심하라는 듯이 싱긋웃는 모습과 대사가 너무나 멋졌습니다.최고!!!,1
7695968,그냥막장미드...;어느부분에서웃어야될지도모르겟고 전개도너무어수선함...집중잘안됏던 근래에본최악의영화...ㅋ,0
9222203,재미 있었어요~ 아이도 재미있었데요,1
9199356,잘 만들긴 정말 잘 만들었다,1
8689998,진짜재밌었음 스토리도좋고,1
6572856,잠오는영화 잠안올때봐라,0
6200093,.....요술마차처럼 택시가 보름달위로 뜨는 장면부터 못 보겠더라,0
8832224,훈훈한가족드라마!!보는내내즐거워요~미소한가득♥,1
9780305,"진짜 평점 믿으면 안된 다는 걸 현실로 보여주는 영화입니다. 네티즌,전문가 하나같이 영화에서 예술성과 철학만 찾고있으니.. 영화 볼때 평점 안보고 봅니다.",1
2358243,"극적요소가 많아 약간 산만, 하지만 재밌고 아름다움! 대사와 영상이 멋지다!",1
9984270,오페라인데 뮤지컬처럼 대사가 참 많아서 독특했던..무엇보다 모짜르트 음악은 참 쉽게쉽게 귀에 전달되서 좋네요^^,1
7377375,의리로 1점,0
5736538,자본주의의 악순환,1
9798700,"얽히고 섥혀서 풀릴 생각이 없는 덩쿨 같은 인생, 그 와중에 용서와 화해, 사랑이라는 열매가 맺힌다",1
2475122,눈물이 앞을 가린다...,1
7503708,지금만나러갑니다 천사의사랑 일본 로맨스 재밌음,1
5455924,코미디 영화로는 10점 하지만 장르가 공포라서 1점 OOO기영화,0
4219769,어두운 영화인줄 난 몰랏다,0
7381686,시13발 넌 뭐냨ㅋㅋㅋㅋ,0
5927900,지나치게 낡은 영화. 스릴마저 부족하다. 두 연기파 배우마저 없었더라면 끔찍했을,0
6335697,"그래서 결론은 ""저질범죄자에겐 저질경찰이 약이다.""!?",0
7133917,ㅊㄹㅊㄹㅊㄹㅊㄹㅊㄹㅊㄹㅊㄹㅊㄹ,0
4403231,그야말로 무법천지 영화.,0
9949445,노잼보스 핵너잼 하ㅏ나도 안무서으ㅏㅇ 흥,0
4556243,기륭아저씨가 정말 파릇하게 나온 영화ㅋㅋ 결말 빼곤 다 괜찮음ㅋㅋㅋㅋㅋ,1
8915089,스물살은 그런대로 볼만하던데 이 영화는 그냥 3류에로영화.,0
10190837,역시 믿고보는 박해일^^,1
3655975,브루스 윌리스의 섹시함도 카리나의 매력도 영화가 주는 지루함 앞엔 장사 없구나.,0
5812932,무조건 봐야되여~~강추!!,1
9742275,진짜 개 쓰레기 영화..이리저리 좋은 영화에서 어줍싸리 몇가지 갖다 붙혀서 만들어 보려한 중2병 영화. 숨은뜻? 웃기고 있네 먼저 기본적인 영화가 되야지 이건 쓰레기중에 쓰레기영화임. 아저씨 + 본얼티메이텀 + 달콤한인생 을 합친 팬무비임,0
10045777,여태 까지 네이버에서 잔인한장면은 다봐서 나머지내용은 아주 잔인하게 느껴지지 않는다,0
236417,명감독의 졸작. 감동이나 재미는 없다.,0
5729843,기억의 마지막까지 함께 걸어줄 소중한 사람. 미안해요 언제나 고마웠어요. 이제 훨훨 날아요^-^o,1
6992318,보면서 긴장을 풀수없었음 시온과 마지막에 테라라 캐릭터도 맘에들었고 전세계를 배경으로해서 블록버스터감임 케로로 극장판중에최고! 케로로계의 타이타닉감!ㅋㅋㅋㅋ,1
9120576,아.... 할말을 잃었습니다,0
8391188,ㅜㅜ 내용이너무 지루해요~~,0
7839085,결말마저 비현실적인 패륜영화에다가 배우들은 연기 OO못하고 ㄷㄷ.. 어쨋든 그냥 쓰레이김 소설이나 영화나 둘다 쓰레기 시간아까워요,0
10204064,귀신은 도대체 무슨 명분으로 사람을 죽인거냐?,0
2601095,할말이 없다.,0
9274998,연기도 열라 어색하네...,0
8779431,이건 10점 만점이다 2 백퍼,1
6549138,43돈아깝네,0
7493514,최악의 영화,0
8401243,미워도 다시 한번만 ㅠㅠ,1
9661593,여기 나오는 명배우들 도대체 뭔 생각으로 여기에 출연한건지...,0
8025459,곽지민 귀여워ㅋㅋ 여배우가 완전귀여움,1
8483868,너란좀비 예쁜남자 으흠~,0
2323543,아 지루해지루해 전편보다 변 반틈깍아서 준다 70년대에나 획기적이었을 영화,0
8775558,평점 참 믿을거 못된다. 시청률이 높은것도 이해가 안간다.물론 취향이 달라서 재밌다는 분들께는 뭐라 말을 멋하겠지만 진짜 아빠어디가냐??,0
8189189,복수를 위한 최고의 만찬...?꽤 오랫동안 누워있던 스시 걸만 불쌍헌데 욱일승천기 많이 거슬린다...,0
8819833,꿀꿀개꿀잼 정자매겁나게이쁘다ㅠㅠ,1
8243931,"개막장의끝판왕 드라마 오로라공주인데 무슨 별점을 주라는건지?별점 zero,,,,임성한 작가의 글로 제작된 드라마는 때려죽여도 않볼건데개콘의 시청율의제왕은 웃기기라도 하지,,오로라 공주는 여태까지 본드라마 중에 최악중에 최악,,MBC도 욕나옴",0
1355954,양치기들 춤추며 노는 장면에서 더 이상은 몬 보겠더라,0
5785885,로맨싱 스톤 2.,0
6265368,김혜수 연기최고 나머지배우들도 굿 아쉬운게 있다면 노래가 쌩뚱맞음 마지막장면 사극인줄...,1
1554351,"어지러운 스토크, 보여주는게 전혀 없는 사랑 놀음",0
